Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1952948202
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
120000	-687.354232	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.857640	22.007156	0.857640	0.857640	0.000000	0.857640	0.000000	0.000000	0.857640	0.857640	0.857640	0.000000	0.000000	0.857640	0.857640	0.000000	0.857640	0.000000	0.000000	0.000000	4.438803	4.438803	0.999996	0.000000	0.000003	0.000000	0.000001	27.352636	
125000	-688.095080	1	2	5	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z 0 0 0 	0.788158	15.459997	0.788158	0.788158	0.000000	0.788158	0.000000	0.000000	0.788158	0.788158	0.788158	0.000000	0.000000	0.788158	0.788158	0.788158	0.788158	0.000000	0.000000	0.788158	5.108521	5.108521	0.999993	0.000000	0.000005	0.000000	0.000002	17.606668	
130000	-687.798368	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.749706	14.396348	0.749706	0.749706	0.000000	0.749706	0.000000	0.000000	0.749706	0.749706	0.749706	0.000000	0.000000	0.000000	0.749706	0.000000	0.749706	0.000000	0.000000	0.000000	5.777760	5.777760	0.999992	0.000000	0.000006	0.000000	0.000001	16.549273	
135000	-688.600486	1	2	5	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z 0 0 0 	0.868602	13.096274	0.868602	0.868602	0.000000	0.868602	0.000000	0.000000	0.868602	0.868602	0.868602	0.000000	0.000000	0.868602	0.868602	0.868602	0.868602	0.000000	0.000000	0.868602	5.038482	5.038482	0.999990	0.000000	0.000008	0.000000	0.000003	8.304093	
140000	-689.225028	1	2	6	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z 0 0 Z 	0.879177	13.499141	0.879177	0.879177	0.000000	0.879177	0.000000	0.000000	0.879177	0.879177	0.879177	0.000000	0.000000	0.879177	0.879177	0.000000	0.879177	0.000000	0.000000	0.000000	7.293176	7.293176	0.999984	0.000000	0.000013	0.000000	0.000003	24.230521	
145000	-692.602129	1	2	6	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z 0 0 Z 	0.670609	16.698830	0.670609	0.670609	0.000000	0.670609	0.000000	0.000000	0.670609	0.670609	0.670609	0.000000	0.000000	0.670609	0.670609	0.000000	0.670609	0.000000	0.000000	0.000000	7.402364	7.402364	0.999992	0.000000	0.000006	0.000000	0.000001	25.930508	
150000	-688.889838	1	2	6	'0 1 0 0 Z 0 Z Z 0 Z 0 Z 0 0 0 Z 	1.166804	21.843884	1.166804	1.166804	0.000000	1.166804	0.000000	0.000000	1.166804	0.000000	1.166804	0.000000	1.166804	1.166804	1.166804	0.000000	1.166804	0.000000	0.000000	0.000000	5.130391	5.130391	0.999977	0.000000	0.000009	0.000011	0.000002	24.114687	
155000	-688.446682	1	2	5	'0 1 0 0 Z 0 Z Z 0 0 0 Z 0 0 0 Z 	0.937064	18.805645	0.937064	0.937064	0.000000	0.937064	0.000000	0.000000	0.937064	0.937064	0.937064	0.000000	0.937064	0.937064	0.937064	0.000000	0.937064	0.000000	0.000000	0.000000	5.687440	5.687440	0.999980	0.000000	0.000007	0.000011	0.000002	83.927947	
160000	-687.630922	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.836722	15.662263	0.836722	0.836722	0.000000	0.836722	0.000000	0.000000	0.836722	0.836722	0.836722	0.000000	0.000000	0.000000	0.836722	0.000000	0.836722	0.000000	0.000000	0.000000	6.117568	6.117568	0.999991	0.000000	0.000007	0.000000	0.000002	6.865745	
165000	-690.044051	1	2	7	'0 1 0 0 Z 0 Z Z 0 Z 0 Z Z Z 0 0 	1.322840	16.289461	1.322840	1.322840	0.000000	1.322840	0.000000	0.000000	1.322840	0.000000	1.322840	0.000000	0.000000	0.000000	1.322840	1.322840	1.322840	0.000000	0.000000	1.322840	4.634319	4.634319	0.999983	0.000000	0.000012	0.000000	0.000005	25.584959	
