species_asw,family,order,eggs,larvae,DD,viviparity,paedomorphy,rep_mode,SSE_larva,SSE_adult,SSE_Tegg,SSE_Tlarv
Batrachoseps_diabolicus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_gabrieli,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_gavilanensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_gregarius,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_incognitus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_kawia,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_luciae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_major,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_minor,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_nigriventris,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_pacificus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_regius,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_relictus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_robustus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_simatus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_stebbinsi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_wrighti,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_adspersa,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_alberchi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_altamazonica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_alvaradoi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_anthracina,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_aurae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_aureogularis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_biseriata,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_borburata,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_bramei,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_caldwellae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_capitana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_carri,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_cataguana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_celaque,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_centenorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_cerroensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_chica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_chinanteca,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_chucantiensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_colonnea,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_compacta,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_conanti,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_copia,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_cuchumatana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_cuna,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_daryorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_decora,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_diaphora,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_digitigrada,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_diminuta,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_dofleini,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_dunni,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_engelhardti,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_epimela,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_equatoriana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_eremia,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_flavimembris,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_flaviventris,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_franklini,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_gomezi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_gracilis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_guaneae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_guaramacalensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_hartwegi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_heiroreias,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_helmrichi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_hermosa,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_hiemalis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_huehuetenanguensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_hypacra,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_indio,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_insularis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_jacksoni,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_jugivagans,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_kamuk,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_kaqchikelorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_la,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_leandrae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_lignicolor,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_lincolni,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_longissima,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_lozanoi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_macrinii,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_madeira,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_magnifica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_marmorea,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_medemi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_meliana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_mexicana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_minutula,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_mombachoensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_morio,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_mucuyensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_mulleri,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_nicefori,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_nigrescens,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_ninadormida,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_nussbaumi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_nympha,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_oaxacensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_obscura,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_occidentalis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_odonnelli,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_omniumsanctorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_oresbia,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_orestes,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_pacaya,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_palmata,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_pandi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_paraensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_peruviana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_pesrubra,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_phalarosoma,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_platydactyla,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_porrasorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_psephena,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_pygmaea,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_ramosi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_riletti,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_robinsoni,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_robusta,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_rostrata,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_rufescens,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_salvinii,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_savagei,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_schizodactyla,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_silverstonei,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_sima,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_sombra,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_sooyorum,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_splendida,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_striatula,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_stuarti,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_subpalmata,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_suchitanensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_synoria,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tamaense,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tapajonica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tatamae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_taylori,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tenebrosa,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_tzultacaj,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_vallecula,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_veracrucis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_walkeri,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_xibalba,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_yariguiensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_yucatana,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_zacapensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bolitoglossa_zapoteca,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Bradytriton_silus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Chiropterotriton_arboreus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Chiropterotriton_aureus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Chiropterotriton_chico,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Chiropterotriton_chiropterus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Chiropterotriton_chondrostega,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
