Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2822677083
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
65000	-113.806167	1	1	10	'Z 0 0 Z 0 0 0 Z Z Z Z Z 0 0 Z 0 Z Z 0 0 	0.000000	5.702865	5.702865	0.000000	5.702865	5.702865	5.702865	0.000000	0.000000	0.000000	0.000000	0.000000	5.702865	5.702865	0.000000	5.702865	0.000000	0.000000	5.702865	5.702865	2.134271	2.134271	0.573048	0.306255	0.000000	0.114743	0.005954	90.020600	
67500	-112.863312	1	1	9	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 0 0 0 0 0 Z 	0.000000	5.432464	5.432464	0.000000	5.432464	0.000000	5.432464	0.000000	0.000000	0.000000	0.000000	0.000000	5.432464	5.432464	5.432464	5.432464	5.432464	5.432464	5.432464	0.000000	4.384045	4.384045	0.756754	0.064417	0.000000	0.086978	0.091852	87.947132	
70000	-116.199136	1	1	15	'Z 0 0 0 Z Z Z Z Z Z Z Z 0 0 Z Z Z Z Z Z 	0.000000	17.591187	17.591187	17.591187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.591187	17.591187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.455203	5.455203	0.996729	0.000000	0.000000	0.003271	0.000000	91.367584	
72500	-112.018940	1	2	9	'Z 0 0 1 1 Z 1 Z Z Z 1 Z 0 0 0 Z Z 0 Z 0 	0.000000	6.746099	6.746099	0.174616	0.174616	0.000000	0.174616	0.000000	0.000000	0.000000	0.174616	0.000000	6.746099	6.746099	6.746099	0.000000	0.000000	6.746099	0.000000	6.746099	15.396313	15.396313	0.976457	0.000007	0.000004	0.023219	0.000313	82.697212	
75000	-116.678851	1	1	7	'Z 0 0 Z 0 Z 0 Z 0 Z 0 0 0 Z Z 0 0 0 0 0 	0.000000	4.127553	4.127553	0.000000	4.127553	0.000000	4.127553	0.000000	4.127553	0.000000	4.127553	4.127553	4.127553	0.000000	0.000000	4.127553	4.127553	4.127553	4.127553	4.127553	4.439389	4.439389	0.362720	0.007450	0.563359	0.011593	0.054878	66.046295	
77500	-122.694001	1	1	6	'Z 0 0 Z 0 Z 0 Z 0 0 0 0 0 Z 0 0 0 Z 0 0 	0.000000	2.593897	2.593897	0.000000	2.593897	0.000000	2.593897	0.000000	2.593897	2.593897	2.593897	2.593897	2.593897	0.000000	2.593897	2.593897	2.593897	0.000000	2.593897	2.593897	73.384041	73.384041	0.478275	0.000913	0.501928	0.009401	0.009484	70.406174	
80000	-112.932720	1	1	12	'Z 0 0 Z 0 0 0 0 Z Z Z Z 0 0 Z Z Z Z Z Z 	0.000000	7.514576	7.514576	0.000000	7.514576	7.514576	7.514576	7.514576	0.000000	0.000000	0.000000	0.000000	7.514576	7.514576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.117879	6.117879	0.862693	0.060691	0.000000	0.076616	0.000000	67.601228	
82500	-113.573714	1	1	9	'Z 0 0 Z 0 0 0 Z 0 0 Z Z 0 Z Z 0 0 Z Z 0 	0.000000	3.689720	3.689720	0.000000	3.689720	3.689720	3.689720	0.000000	3.689720	3.689720	0.000000	0.000000	3.689720	0.000000	0.000000	3.689720	3.689720	0.000000	0.000000	3.689720	6.637368	6.637368	0.338414	0.043529	0.611923	0.003062	0.003072	43.757535	
85000	-113.340472	1	1	10	'Z 0 0 Z 0 0 0 Z 0 0 0 Z 0 Z Z 0 Z Z Z Z 	0.000000	5.544973	5.544973	0.000000	5.544973	5.544973	5.544973	0.000000	5.544973	5.544973	5.544973	0.000000	5.544973	0.000000	0.000000	5.544973	0.000000	0.000000	0.000000	0.000000	4.640784	4.640784	0.324224	0.083870	0.586075	0.005831	0.000000	47.113761	
87500	-115.068882	1	1	8	'Z 0 0 Z 0 0 0 Z 0 Z Z Z 0 0 0 0 Z 0 0 Z 	0.000000	7.832669	7.832669	0.000000	7.832669	7.832669	7.832669	0.000000	7.832669	0.000000	0.000000	0.000000	7.832669	7.832669	7.832669	7.832669	0.000000	7.832669	7.832669	0.000000	3.713667	3.713667	0.391714	0.225611	0.168699	0.145947	0.068029	73.869471	
