Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
291	0.243986	107	0.317757	41	0.121951	61	1.000000	3.830024	398	0.263819	0.342000	0.372672	
578	0.288927	213	0.248826	100	0.220000	109	1.000000	3.830024	791	0.278129	0.351000	0.372467	
298	0.228188	108	0.425926	40	0.175000	54	0.962963	3.830024	406	0.280788	0.346000	0.372241	
597	0.234506	202	0.351485	76	0.157895	125	1.000000	3.830024	799	0.264080	0.348000	0.372202	
270	0.222222	125	0.352000	46	0.173913	59	1.000000	3.830024	395	0.263291	0.342000	0.371943	
585	0.268376	225	0.293333	85	0.117647	105	1.000000	3.830024	810	0.275309	0.338000	0.371720	
284	0.246479	120	0.416667	37	0.054054	59	0.983051	3.830024	404	0.297030	0.360000	0.371758	
538	0.252788	230	0.326087	94	0.095745	138	0.992754	3.830024	768	0.274740	0.357000	0.371573	
256	0.199219	126	0.349206	54	0.129630	64	0.984375	3.830024	382	0.248691	0.330000	0.371429	
556	0.250000	217	0.364055	88	0.147727	139	1.000000	3.830024	773	0.282018	0.370000	0.371339	
279	0.268817	117	0.333333	35	0.200000	69	0.956522	3.830024	396	0.287879	0.374000	0.371211	
572	0.297203	227	0.356828	83	0.144578	118	0.991525	3.830024	799	0.314143	0.380000	0.371293	
270	0.211111	137	0.335766	34	0.147059	59	0.983051	3.830024	407	0.253071	0.332000	0.371292	
579	0.215889	230	0.395652	81	0.111111	110	1.000000	3.830024	809	0.266996	0.335000	0.371091	
308	0.282468	104	0.307692	31	0.096774	57	1.000000	3.830024	412	0.288835	0.358000	0.370878	
562	0.225979	224	0.388393	95	0.094737	119	0.974790	3.830024	786	0.272265	0.339000	0.370575	
282	0.209220	117	0.487179	39	0.153846	62	0.870968	3.830024	399	0.290727	0.352000	0.370417	
582	0.213058	196	0.387755	102	0.176471	120	0.941667	3.830024	778	0.257069	0.331000	0.370342	
282	0.223404	119	0.327731	43	0.209302	56	0.964286	3.830024	401	0.254364	0.330000	0.370085	
548	0.297445	254	0.287402	87	0.103448	111	0.981982	3.830024	802	0.294264	0.354000	0.369940	
276	0.173913	115	0.452174	44	0.159091	65	0.923077	3.830024	391	0.255754	0.334000	0.369856	
541	0.212569	224	0.401786	94	0.223404	141	0.992908	3.830024	765	0.267974	0.366000	0.369796	
